1.000000000000000056e-01	4.555811901445172563e-02	1.560710268071983098e+00
1.057052081000982857e-01	5.274343237074108348e-01	1.560134879441102074e+00
1.117359101948508654e-01	1.009304484407373748e+00	1.559526671298695266e+00
1.181106763940060478e-01	1.491167891976278082e+00	1.558883772600818451e+00
1.248491362707177532e-01	1.973023754096858928e+00	1.558204205805972187e+00
1.319720393061374897e-01	2.454871185521883881e+00	1.557485880844337034e+00
1.395013187824961920e-01	2.936709197181817999e+00	1.556726588751110807e+00
1.474601593214190931e-01	3.418536684017578597e+00	1.555923994946256217e+00
1.558730682754425334e-01	3.900352411389688356e+00	1.555075632142234543e+00
1.647659511925648468e-01	4.382154999897717396e+00	1.554178892860555328e+00
1.741661915862070531e-01	4.863942908424861322e+00	1.553231021537256451e+00
1.841027352562160380e-01	5.345714415200974123e+00	1.552229106196728381e+00
1.946061794205562190e-01	5.827467596653589155e+00	1.551170069672639595e+00
2.057088669321495977e-01	6.309200303789886277e+00	1.550050660354120646e+00
2.174449858709830152e-01	6.790910135823109428e+00	1.548867442434834318e+00
2.298506748181519677e-01	7.272594410723990599e+00	1.547616785642132342e+00
2.429641341360077311e-01	7.754250132341388380e+00	1.546294854423197584e+00
2.568257435970688896e-01	8.235873953695744376e+00	1.544897596564932973e+00
2.714781867239066115e-01	8.717462136003977236e+00	1.543420731224419695e+00
2.869665822228789076e-01	9.199010502944602763e+00	1.541859736347083398e+00
3.033386229164337644e-01	9.680514389616686088e+00	1.540209835450329745e+00
3.206447226017888341e-01	1.016196858558496174e+01	1.538465983751410082e+00
3.389381712882038045e-01	1.064336727133594174e+01	1.536622853619741491e+00
3.582752992908633805e-01	1.112470394739541746e+01	1.534674819335919871e+00
3.787156506866571903e-01	1.160597135527525481e+01	1.532615941142341232e+00
4.003221666659723121e-01	1.208716138932727269e+01	1.530439948573844022e+00
4.231613793450882954e-01	1.256826499848259182e+01	1.528140223061212888e+00
4.473036166359719012e-01	1.304927207674616341e+01	1.525709779805982880e+00
4.728232188043201001e-01	1.353017134119750864e+01	1.523141248931905833e+00
4.997987673826896349e-01	1.401095019611939385e+01	1.520426855927005327e+00
5.283133271435982437e-01	1.449159458173597415e+01	1.517558401400567192e+00
