In	Amp	Phase
1.148169485521349648e-01	2.005792463624544553e+01	2.394620840507629023e+00
1.149756995397735598e-01	2.004910540201689173e+01	2.394214957776803043e+00
1.151346700235440224e-01	2.004028945287092967e+01	2.393808718998599261e+00
1.152938603069313672e-01	2.003147679311625851e+01	2.393402123837393258e+00
1.154532706938402459e-01	2.002266742706748559e+01	2.392995171957438494e+00
1.156129014885955153e-01	2.001386135904514063e+01	2.392587863022864081e+00
1.157727529959428625e-01	2.000505859337571124e+01	2.392180196697681005e+00
1.159328255210492070e-01	1.999625913439161806e+01	2.391772172645778571e+00
1.160931193695035196e-01	1.998746298643122898e+01	2.391363790530927957e+00
1.162536348473171971e-01	1.997867015383887690e+01	2.390955050016783545e+00
1.164143722609248394e-01	1.996988064096484550e+01	2.390545950766882477e+00
1.165753319171846242e-01	1.996109445216539413e+01	2.390136492444645100e+00
1.167365141233791120e-01	1.995231159180275426e+01	2.389726674713378962e+00
1.168979191872156487e-01	1.994353206424512948e+01	2.389316497236277481e+00
1.170595474168271005e-01	1.993475587386671677e+01	2.388905959676421276e+00
1.172213991207722711e-01	1.992598302504769947e+01	2.388495061696779054e+00
1.173834746080367197e-01	1.991721352217425434e+01	2.388083802960210722e+00
1.175457741880330809e-01	1.990844736963856931e+01	2.387672183129465164e+00
1.177082981706019382e-01	1.989968457183883288e+01	2.387260201867184239e+00
1.178710468660121580e-01	1.989092513317924471e+01	2.386847858835902780e+00
1.180340205849616797e-01	1.988216905807003343e+01	2.386435153698047706e+00
1.181972196385779605e-01	1.987341635092744951e+01	2.386022086115943353e+00
1.183606443384187107e-01	1.986466701617376884e+01	2.385608655751808360e+00
1.185242949964723236e-01	1.985592105823731046e+01	2.385194862267760119e+00
1.186881719251586670e-01	1.984717848155243303e+01	2.384780705325812988e+00
1.188522754373294577e-01	1.983843929055954547e+01	2.384366184587881410e+00
1.190166058462690662e-01	1.982970348970510344e+01	2.383951299715780348e+00
1.191811634656950170e-01	1.982097108344162706e+01	2.383536050371226178e+00
1.193459486097585565e-01	1.981224207622771161e+01	2.383120436215838467e+00
1.195109615930452646e-01	1.980351647252800262e+01	2.382704456911140412e+00
1.196762027305757481e-01	1.979479427681324566e+01	2.382288112118560175e+00
1.198416723378061821e-01	1.978607549356024364e+01	2.381871401499433549e+00
1.200073707306288234e-01	1.977736012725191017e+01	2.381454324715001292e+00
1.201732982253727877e-01	1.976864818237723398e+01	2.381036881426414453e+00
1.203394551388044520e-01	1.975993966343131802e+01	2.380619071294733047e+00
1.205058417881283012e-01	1.975123457491535461e+01	2.380200893980928711e+00
1.206724584909872749e-01	1.974253292133666093e+01	2.379782349145884268e+00
1.208393055654636283e-01	1.973383470720866129e+01	2.379363436450395941e+00
1.210063833300792646e-01	1.972513993705090840e+01	2.378944155555175133e+00
1.211736921037966375e-01	1.971644861538906568e+01	2.378524506120847093e+00
1.213412322060190701e-01	1.970776074675494982e+01	2.378104487807956247e+00
1.215090039565916435e-01	1.969907633568650240e+01	2.377684100276963530e+00
1.216770076758015573e-01	1.969039538672781475e+01	2.377263343188248612e+00
1.218452436843789344e-01	1.968171790442912084e+01	2.376842216202113001e+00
1.220137123034972793e-01	1.967304389334682213e+01	2.376420718978779600e+00
1.221824138547742689e-01	1.966437335804346276e+01	2.375998851178392712e+00
1.223513486602721273e-01	1.965570630308776501e+01	2.375576612461022474e+00
1.225205170424985279e-01	1.964704273305460802e+01	2.375154002486663529e+00
1.226899193244068986e-01	1.963838265252507043e+01	2.374731020915237245e+00
1.228595558293973516e-01	1.962972606608639481e+01	2.374307667406593492e+00
1.230294268813170028e-01	1.962107297833200903e+01	2.373883941620510196e+00
1.231995328044608456e-01	1.961242339386155109e+01	2.373459843216696008e+00
1.233698739235722375e-01	1.960377731728084427e+01	2.373035371854791631e+00
1.235404505638434819e-01	1.959513475320190778e+01	2.372610527194370267e+00
1.237112630509165090e-01	1.958649570624298519e+01	2.372185308894938949e+00
1.238823117108835831e-01	1.957786018102853021e+01	2.371759716615941649e+00
1.240535968702878022e-01	1.956922818218920668e+01	2.371333750016757502e+00
1.242251188561236952e-01	1.956059971436192413e+01	2.370907408756704360e+00
1.243968779958379844e-01	1.955197478218979512e+01	2.370480692495039676e+00
1.245688746173300582e-01	1.954335339032218499e+01	2.370053600890961842e+00
1.247411090489527891e-01	1.953473554341469409e+01	2.369626133603609741e+00
1.249135816195129089e-01	1.952612124612917555e+01	2.369198290292067632e+00
1.250862926582718970e-01	1.951751050313372104e+01	2.368770070615362933e+00
1.252592424949463268e-01	1.950890331910269637e+01	2.368341474232470212e+00
1.254324314597088930e-01	1.950029969871670943e+01	2.367912500802309861e+00
1.256058598831885087e-01	1.949169964666265287e+01	2.367483149983753421e+00
1.257795280964715268e-01	1.948310316763367211e+01	2.367053421435619587e+00
1.259534364311017951e-01	1.947451026632921511e+01	2.366623314816680868e+00
1.261275852190817948e-01	1.946592094745498613e+01	2.366192829785660923e+00
1.263019747928728620e-01	1.945733521572299551e+01	2.365761966001239003e+00
1.264766054853962152e-01	1.944875307585153834e+01	2.365330723122048173e+00
1.266514776300331768e-01	1.944017453256520866e+01	2.364899100806680643e+00
