X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-6.000000e-04,1.000000e-06
152,2.80e-01,-2.00e+00,
153,3.40e-01,-2.00e+00,
154,3.00e-01,-2.00e+00,
155,3.40e-01,-2.40e+00,
156,3.00e-01,-2.00e+00,
157,3.60e-01,-2.40e+00,
158,3.20e-01,-2.20e+00,
159,3.80e-01,-2.40e+00,
160,3.40e-01,-2.20e+00,
161,4.00e-01,-2.60e+00,
162,3.40e-01,-2.20e+00,
163,4.00e-01,-2.60e+00,
164,3.60e-01,-2.60e+00,
165,4.20e-01,-2.20e+00,
166,4.20e-01,-2.40e+00,
167,3.60e-01,-2.80e+00,
168,3.80e-01,-2.40e+00,
169,4.40e-01,-2.80e+00,
170,4.00e-01,-3.00e+00,
171,4.40e-01,-2.40e+00,
172,4.00e-01,-2.60e+00,
173,4.60e-01,-3.00e+00,
174,4.60e-01,-2.60e+00,
175,4.20e-01,-3.00e+00,
176,4.20e-01,-3.00e+00,
177,4.80e-01,-2.80e+00,
178,4.40e-01,-2.80e+00,
179,4.80e-01,-3.20e+00,
180,4.40e-01,-3.20e+00,
181,5.00e-01,-2.80e+00,
182,4.60e-01,-3.00e+00,
183,5.00e-01,-3.40e+00,
184,4.60e-01,-3.40e+00,
185,5.20e-01,-3.00e+00,
186,4.80e-01,-3.20e+00,
187,5.40e-01,-3.60e+00,
188,4.80e-01,-3.20e+00,
189,5.40e-01,-3.60e+00,
190,5.00e-01,-3.60e+00,
191,5.60e-01,-3.20e+00,
192,5.00e-01,-3.40e+00,
193,5.60e-01,-3.80e+00,
194,5.20e-01,-3.40e+00,
195,5.80e-01,-3.80e+00,
196,5.20e-01,-3.80e+00,
197,5.80e-01,-3.40e+00,
198,5.40e-01,-3.80e+00,
199,6.00e-01,-4.20e+00,
200,5.40e-01,-3.80e+00,
201,6.00e-01,-4.20e+00,
202,5.60e-01,-3.80e+00,
203,6.20e-01,-4.40e+00,
204,5.80e-01,-4.00e+00,
205,6.40e-01,-4.40e+00,
206,6.40e-01,-4.00e+00,
207,5.80e-01,-4.40e+00,
208,6.20e-01,-4.20e+00,
209,6.60e-01,-4.60e+00,
210,6.20e-01,-4.20e+00,
211,6.80e-01,-4.60e+00,
212,6.80e-01,-4.40e+00,
213,6.40e-01,-4.80e+00,
214,6.40e-01,-4.40e+00,
215,7.00e-01,-4.80e+00,
216,6.60e-01,-4.40e+00,
217,7.00e-01,-5.00e+00,
218,6.60e-01,-4.60e+00,
219,7.20e-01,-5.00e+00,
220,6.80e-01,-4.60e+00,
221,7.20e-01,-5.00e+00,
