Record Length,1.024000e+03,,          0.00000, -16.16910,
Sample Interval,1.233033e+01,,         12.33033, -13.76910,
Trigger Point,0.000000000000e+00,,         24.66067, -20.16910,
,,,         36.99100, -39.36910,
,,,         49.32134, -44.56910,
,,,         61.65167, -44.16910,
Source,MATH,,         73.98201, -46.96910,
Vertical Units,dB,,         86.31234, -47.36910,
Vertical Scale,1.000000e+01,,         98.64268, -48.56910,
Vertical Offset,0.000000e+00,,        110.97301, -46.96910,
Horizontal Units,Hz,,        123.30335, -47.36910,
Horizontal Scale,1.262626e+03,,        135.63368, -46.56910,
Pt Fmt,Y,,        147.96402, -45.36910,
Yzero,-2.096910e+01,,        160.29435, -46.96910,
Probe Atten,1.000000e+00,,        172.62468, -46.96910,
Model Number,TDS1012C-EDU,,        184.95502, -47.36910,
Serial Number,C011491,,        197.28535, -45.76910,
Firmware Version,FV:v25.06,,        209.61569, -40.56910,
,,,221.94602, -47.36910,
,,,234.27635, -30.16910,
,,,246.60668, -26.56910,
,,,258.93701, -25.36910,
,,,271.26734, -26.96910,
,,,283.59767, -35.76910,
,,,295.92800, -42.16910,
,,,308.25833, -43.36910,
,,,320.58866, -46.96910,
,,,332.91899, -48.96910,
,,,345.24932, -48.96910,
,,,357.57965, -49.36910,
,,,369.90998, -47.36910,
,,,382.24031, -49.36910,
,,,394.57064, -51.36910,
,,,406.90097, -50.16910,
,,,419.23130, -47.36910,
,,,431.56163, -46.16910,
,,,443.89196, -44.16910,
,,,456.22229, -42.96910,
,,,468.55262, -35.36910,
,,,480.88295, -30.96910,
,,,493.21328, -32.16910,
,,,505.54361, -35.36910,
,,,517.87394, -46.56910,
,,,530.20427, -38.56910,
,,,542.53460, -40.56910,
,,,554.86493, -44.16910,
,,,567.19526, -45.76910,
,,,579.52559, -45.76910,
,,,591.85592, -48.56910,
,,,604.18625, -47.36910,
,,,616.51658, -47.36910,
,,,628.84691, -48.56910,
,,,641.17724, -48.96910,
,,,653.50757, -47.36910,
,,,665.83790, -47.36910,
,,,678.16823, -48.96910,
,,,690.49856, -46.16910,
,,,702.82889, -44.56910,
,,,715.15922, -38.96910,
,,,727.48955, -38.96910,
,,,739.81988, -46.16910,
,,,752.15021, -38.16910,
,,,764.48054, -34.16910,
,,,776.81087, -34.16910,
,,,789.14120, -39.36910,
,,,801.47153, -44.16910,
,,,813.80186, -45.36910,
,,,826.13219, -45.36910,
,,,838.46252, -45.76910,
,,,850.79285, -45.76910,
,,,863.12318, -47.36910,
,,,875.45351, -46.96910,
,,,887.78384, -48.56910,
,,,900.11417, -47.36910,
,,,912.44450, -48.56910,
,,,924.77483, -47.36910,
,,,937.10516, -47.36910,
,,,949.43549, -39.76910,
,,,961.76582, -39.36910,
,,,974.09615,  -6.16910,
,,,986.42648,   1.43090,
,,,998.75681,   2.23090,
,,,1011.08714,   1.83090,
,,,1023.41747,  -3.76910,
,,,1035.74780, -34.96910,
,,,1048.07813, -38.56910,
,,,1060.40846, -47.36910,
,,,1072.73879, -46.96910,
,,,1085.06912, -46.16910,
,,,1097.39945, -45.36910,
,,,1109.72978, -44.96910,
,,,1122.06011, -45.36910,
,,,1134.39044, -45.76910,
,,,1146.72077, -47.36910,
,,,1159.05110, -47.36910,
,,,1171.38143, -48.56910,
,,,1183.71176, -45.36910,
,,,1196.04209, -43.76910,
,,,1208.37242, -41.36910,
,,,1220.70275, -36.16910,
,,,1233.03308, -34.56910,
,,,1245.36341, -39.76910,
,,,1257.69374, -44.56910,
,,,1270.02407, -39.36910,
,,,1282.35440, -37.36910,
,,,1294.68473, -41.36910,
,,,1307.01506, -43.76910,
,,,1319.34539, -45.76910,
,,,1331.67572, -47.36910,
,,,1344.00605, -47.36910,
,,,1356.33638, -48.56910,
,,,1368.66671, -46.56910,
,,,1380.99704, -45.36910,
,,,1393.32737, -45.36910,
,,,1405.65770, -46.16910,
,,,1417.98803, -47.36910,
,,,1430.31836, -49.36910,
,,,1442.64869, -46.96910,
,,,1454.97902, -43.36910,
,,,1467.30935, -38.96910,
,,,1479.63968, -45.76910,
,,,1491.97001, -36.16910,
,,,1504.30034, -32.96910,
,,,1516.63067, -30.96910,
,,,1528.96100, -34.16910,
,,,1541.29133, -42.16910,
,,,1553.62166, -43.76910,
,,,1565.95199, -46.16910,
,,,1578.28232, -48.96910,
,,,1590.61265, -48.56910,
,,,1602.94298, -51.36910,
,,,1615.27331, -49.36910,
,,,1627.60364, -47.36910,
,,,1639.93397, -48.56910,
,,,1652.26430, -50.16910,
,,,1664.59463, -48.96910,
,,,1676.92496, -46.56910,
,,,1689.25529, -45.36910,
